GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Card Fraud Rule Engine,com.fraud.engine.util,DecisionNormalizer,0,100,0,36,0,35,0,27,0,5
Card Fraud Rule Engine,com.fraud.engine.util,RulesetKeyResolver,0,20,0,2,0,4,0,4,0,3
Card Fraud Rule Engine,com.fraud.engine.util,EngineMetrics,331,148,0,0,71,33,20,4,20,4
Card Fraud Rule Engine,com.fraud.engine.util,AlertLogger,0,188,0,0,0,41,0,5,0,5
Card Fraud Rule Engine,com.fraud.engine.engine,RuleEvaluator.EvaluationType,0,37,0,0,0,3,0,2,0,2
Card Fraud Rule Engine,com.fraud.engine.engine,ConditionCompiler,90,696,40,96,26,151,50,82,12,46
Card Fraud Rule Engine,com.fraud.engine.engine,MonitoringEvaluator,116,350,51,37,35,89,46,13,0,9
Card Fraud Rule Engine,com.fraud.engine.engine,EvaluationContext,46,58,7,3,22,14,8,4,3,4
Card Fraud Rule Engine,com.fraud.engine.engine,RuleEvaluator,76,308,11,17,20,92,9,15,1,9
Card Fraud Rule Engine,com.fraud.engine.engine,VelocityEvaluator,151,7,22,0,43,2,16,2,5,2
Card Fraud Rule Engine,com.fraud.engine.startup,StartupRulesetLoader,5,132,2,14,1,35,2,9,0,3
Card Fraud Rule Engine,com.fraud.engine.startup,RedisConnectionWarmer,15,53,0,2,2,16,0,4,0,3
Card Fraud Rule Engine,com.fraud.engine.startup,S3StartupValidator,1,155,1,21,1,40,1,17,0,7
Card Fraud Rule Engine,com.fraud.engine.service,FieldRegistryService,4,277,6,20,1,69,6,22,0,15
Card Fraud Rule Engine,com.fraud.engine.service,HotReloadCoordinator,134,366,18,42,40,98,18,26,4,10
Card Fraud Rule Engine,com.fraud.engine.simulation,SimulationService.InvalidRulesetException,4,5,0,0,2,2,1,1,1,1
Card Fraud Rule Engine,com.fraud.engine.simulation,SimulationService.SimulationResult,19,68,0,0,7,30,6,19,6,19
Card Fraud Rule Engine,com.fraud.engine.simulation,SimulationService,47,222,15,17,10,47,14,9,0,7
Card Fraud Rule Engine,com.fraud.engine.simulation,SimulationService.SimulationException,4,5,0,0,2,2,1,1,1,1
Card Fraud Rule Engine,com.fraud.engine.domain,DebugInfo.Builder,0,68,0,0,0,23,0,9,0,9
Card Fraud Rule Engine,com.fraud.engine.domain,RuleScope,191,481,66,71,37,97,55,46,3,26
Card Fraud Rule Engine,com.fraud.engine.domain,Rule,38,189,8,12,14,58,12,30,6,26
Card Fraud Rule Engine,com.fraud.engine.domain,Decision.EngineMode,2,56,1,1,1,10,1,3,0,3
Card Fraud Rule Engine,com.fraud.engine.domain,Decision.MatchedRule,39,46,0,0,17,20,11,11,11,11
Card Fraud Rule Engine,com.fraud.engine.domain,Decision.VelocityResult,5,86,1,3,2,30,2,16,1,15
Card Fraud Rule Engine,com.fraud.engine.domain,TransactionContext.Address,0,45,0,0,0,19,0,13,0,13
Card Fraud Rule Engine,com.fraud.engine.domain,Decision.EvaluationType,2,46,1,1,1,9,1,3,0,3
Card Fraud Rule Engine,com.fraud.engine.domain,TimingBreakdown,19,94,0,0,7,39,6,20,6,20
Card Fraud Rule Engine,com.fraud.engine.domain,CompiledCondition,10,37,6,4,0,4,5,7,0,7
Card Fraud Rule Engine,com.fraud.engine.domain,DebugInfo.ConditionEvaluation,4,92,0,0,2,38,1,19,1,19
Card Fraud Rule Engine,com.fraud.engine.domain,VelocityConfig,31,44,0,0,13,16,5,7,5,7
Card Fraud Rule Engine,com.fraud.engine.domain,DebugInfo.EvaluationTiming,6,96,2,10,2,27,3,14,1,10
